location_code,city,state,country,location_code_parent,country_iso_code,location_type
1020398,"Huntsville","Missouri","United States",21157,US,City
1020399,"Hurdland","Missouri","United States",21157,US,City
1020400,"Hurley","Missouri","United States",21157,US,City
1020401,"Iberia","Missouri","United States",21157,US,City
1020402,"Imperial","Missouri","United States",21157,US,City
1020403,"Independence","Missouri","United States",21157,US,City
1020404,"Irondale","Missouri","United States",21157,US,City
1020405,"Ironton","Missouri","United States",21157,US,City
1020406,"Jackson","Missouri","United States",21157,US,City
1020407,"Jameson","Missouri","United States",21157,US,City
1020408,"Jamesport","Missouri","United States",21157,US,City
1020409,"Jamestown","Missouri","United States",21157,US,City
1020410,"Jasper","Missouri","United States",21157,US,City
1020411,"Jefferson City","Missouri","United States",21157,US,City
1020412,"Joplin","Missouri","United States",21157,US,City
1020413,"Kahoka","Missouri","United States",21157,US,City
1020414,"Kansas City","Missouri","United States",21157,US,City
1020415,"Kearney","Missouri","United States",21157,US,City
1020416,"Kennett","Missouri","United States",21157,US,City
1020417,"Keytesville","Missouri","United States",21157,US,City
1020418,"Kimberling City","Missouri","United States",21157,US,City
1020419,"King City","Missouri","United States",21157,US,City
1020420,"Kingdom City","Missouri","United States",21157,US,City
1020421,"Kingston","Missouri","United States",21157,US,City
1020422,"Kingsville","Missouri","United States",21157,US,City
1020423,"Kirbyville","Missouri","United States",21157,US,City
1020424,"Kirksville","Missouri","United States",21157,US,City
1020425,"Knob Noster","Missouri","United States",21157,US,City
1020426,"Koshkonong","Missouri","United States",21157,US,City
1020427,"La Belle","Missouri","United States",21157,US,City
1020428,"La Grange","Missouri","United States",21157,US,City
1020429,"La Monte","Missouri","United States",21157,US,City
1020430,"La Plata","Missouri","United States",21157,US,City
1020431,"Laddonia","Missouri","United States",21157,US,City
1020432,"Lake Ozark","Missouri","United States",21157,US,City
1020433,"Lake Saint Louis","Missouri","United States",21157,US,City
1020434,"Lamar","Missouri","United States",21157,US,City
1020435,"Lancaster","Missouri","United States",21157,US,City
1020436,"Laquey","Missouri","United States",21157,US,City
1020437,"Laredo","Missouri","United States",21157,US,City
1020438,"Lathrop","Missouri","United States",21157,US,City
1020439,"Laurie","Missouri","United States",21157,US,City
1020440,"Lawson","Missouri","United States",21157,US,City
1020441,"Leadwood","Missouri","United States",21157,US,City
1020442,"Leasburg","Missouri","United States",21157,US,City
1020443,"Lebanon","Missouri","United States",21157,US,City
